연도,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA,팀순위,경기수,팀승수,팀패수,팀무승부수,팀승률,팀게임차,출생연도,투구유형,타격유형,포지션
2024,8,김선빈,KIA,0.329,116,466,423,48,139,23,0,9,189,57,7,0,30,0,5,39,13,0.447,0.38,0.827,42,0.35,0.5,32,139,106,1.31,4,0.77,3.8,0.118,65.1,0.283,1,144,87,55,2,0.613,0.0,1989.0,우투,우타,내야수
2024,9,박민우,NC,0.328,121,528,457,75,150,26,2,8,204,50,4,4,54,4,9,79,5,0.446,0.406,0.852,43,0.314,0.0,36,106,126,0.84,3,0.68,3.9,0.118,85.4,0.294,9,144,61,81,2,0.43,26.0,1993.0,우투,좌타,내야수
2024,10,김혜성,키움,0.326,127,567,509,90,166,26,4,11,233,75,0,7,47,2,4,62,6,0.458,0.383,0.841,49,0.377,0.0,41,132,156,0.85,9,0.76,3.82,0.132,90.9,0.287,10,144,58,86,0,0.403,30.0,1999.0,우투,좌타,내야수
2024,11,오스틴,LG,0.319,140,604,527,99,168,32,3,32,302,132,0,13,61,6,3,82,9,0.573,0.384,0.957,49,0.329,0.0,67,100,190,0.53,14,0.74,3.78,0.254,112.1,0.316,3,144,76,66,2,0.535,11.0,1993.0,우투,우타,내야수
2024,12,김지찬,삼성,0.316,135,535,453,102,143,16,3,3,174,36,12,1,60,2,9,40,5,0.384,0.405,0.789,38,0.24,0.333,22,153,118,1.3,3,1.5,3.78,0.068,79.8,0.278,2,144,78,64,2,0.549,9.0,2001.0,우투,좌타,외야수
2024,13,양의지,두산,0.314,119,485,430,57,135,18,1,17,206,94,0,6,40,5,9,56,13,0.479,0.379,0.858,37,0.393,0.5,36,96,149,0.64,15,0.71,3.71,0.165,74.6,0.29,4,144,74,68,2,0.521,13.0,1987.0,우투,우타,내야수
2024,14,나승엽,롯데,0.312,121,489,407,59,127,35,4,7,191,66,2,7,69,1,4,83,4,0.469,0.411,0.88,33,0.354,0.4,46,88,116,0.76,5,0.83,4.05,0.157,80.2,0.302,7,144,66,74,4,0.471,20.0,2002.0,우투,좌타,내야수
2024,15,소크라테스,KIA,0.31,140,602,552,92,171,30,3,26,285,97,0,5,41,4,4,91,7,0.516,0.359,0.875,49,0.336,0.0,59,125,170,0.74,9,0.45,3.66,0.207,98.1,0.291,1,144,87,55,2,0.613,0.0,1992.0,좌투,좌타,외야수
2024,17,고승민,롯데,0.308,120,532,481,79,148,27,6,14,229,87,1,8,41,0,1,78,10,0.476,0.358,0.834,42,0.307,0.667,47,124,139,0.89,6,0.53,3.85,0.168,78.9,0.28,7,144,66,74,4,0.471,20.0,2000.0,우투,좌타,내야수
2024,18,박찬호,KIA,0.307,134,577,515,86,158,24,1,5,199,61,7,6,48,1,1,44,9,0.386,0.363,0.749,49,0.359,0.5,30,165,154,1.07,7,1.09,3.76,0.08,72.2,0.26,1,144,87,55,2,0.613,0.0,1973.0,우투,우타,내야수
2024,19,데이비슨,NC,0.306,131,567,504,90,154,25,1,46,319,119,0,7,39,5,17,142,12,0.633,0.37,1.003,45,0.255,0.0,72,83,132,0.63,9,0.27,3.78,0.327,110.1,0.325,9,144,61,81,2,0.43,26.0,1991.0,우투,우타,내야수
2024,20,강민호,삼성,0.303,136,452,403,48,122,19,1,19,200,77,0,6,35,2,8,52,17,0.496,0.365,0.861,31,0.274,0.182,39,124,111,1.12,9,0.67,3.46,0.194,68.8,0.288,2,144,78,64,2,0.549,9.0,1985.0,우투,우타,내야수
2024,21,박성한,SSG,0.301,137,564,489,78,147,24,0,10,201,67,3,6,64,3,2,86,11,0.411,0.38,0.791,42,0.302,0.167,34,139,123,1.13,5,0.74,4.23,0.11,78.5,0.274,6,144,72,70,2,0.507,15.0,1998.0,우투,좌타,내야수
2024,22,문보경,LG,0.301,144,602,519,80,156,35,3,22,263,101,3,13,65,3,2,112,14,0.507,0.372,0.879,40,0.292,0.0,60,125,139,0.9,7,0.58,4.04,0.206,96.0,0.294,3,144,76,66,2,0.535,11.0,2000.0,우투,좌타,내야수
2024,23,권희동,NC,0.3,123,511,416,66,125,22,1,13,188,77,2,6,77,1,10,63,10,0.452,0.417,0.869,31,0.391,1.0,36,113,121,0.93,8,1.22,4.54,0.151,82.2,0.301,9,144,61,81,2,0.43,26.0,1990.0,우투,우타,외야수
2024,24,안치홍,한화,0.3,128,533,473,64,142,21,0,13,202,66,1,4,49,1,6,70,10,0.427,0.37,0.797,44,0.317,1.0,34,118,147,0.8,8,0.7,3.91,0.127,73.8,0.273,8,144,66,76,2,0.465,21.0,1990.0,우투,우타,내야수
2024,25,신민재,LG,0.297,128,474,387,78,115,11,6,0,138,40,15,3,64,1,5,47,7,0.357,0.401,0.758,32,0.306,0.333,17,145,83,1.75,3,1.36,3.73,0.059,63.0,0.27,3,144,76,66,2,0.535,11.0,1996.0,우투,좌타,내야수
2024,27,윤동희,롯데,0.293,141,613,532,97,156,35,4,14,241,85,2,5,67,1,7,114,10,0.453,0.376,0.829,43,0.319,0.25,53,134,133,1.01,6,0.59,4.26,0.16,88.3,0.282,7,144,66,74,4,0.471,20.0,2003.0,우투,우타,외야수
2024,56,한유섬,SSG,0.235,132,523,464,64,109,29,0,24,210,87,1,3,46,3,9,142,2,0.453,0.314,0.767,28,0.26,0.167,53,90,126,0.71,8,0.32,4.14,0.218,68.9,0.255,6,144,72,70,2,0.507,15.0,1989.0,우투,좌타,외야수
