연도,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA,팀순위,경기수,팀승수,팀패수,팀무승부수,팀승률,팀게임차,포지션,투구유형,타격유형,출생연도
2018,15,러프,삼성,0.33,137,597,506,97,167,32,4,33,306,125,0,8,65,0,18,107,17,0.605,0.419,1.024,52,0.366,0,69,114,126,0.9,9,0.61,4.12,0.275,117.2,0.34,,,,,,,,,,,
2018,16,이재원,SK,0.329,130,471,407,63,134,24,0,17,209,57,4,5,43,0,12,65,13,0.514,0.405,0.919,40,0.308,0.4,41,106,107,0.99,2,0.66,3.98,0.184,79.1,0.311,,,,,,,,,,,
2018,17,손아섭,롯데,0.329,141,625,553,109,182,32,5,26,302,93,1,1,68,1,2,99,15,0.546,0.404,0.95,55,0.36,0.333,63,182,91,2,9,0.69,3.99,0.217,112.2,0.318,,,,,,,,,,,
2018,18,박건우,두산,0.326,125,529,488,79,159,24,6,12,231,84,1,2,28,1,10,65,14,0.473,0.373,0.846,47,0.373,0.5,42,126,140,0.9,11,0.43,3.49,0.148,77.9,0.286,,,,,,,,,,,
2018,19,허경민,두산,0.324,133,577,516,85,167,30,5,10,237,79,5,8,32,0,16,52,15,0.459,0.376,0.835,48,0.35,0.25,45,152,153,0.99,8,0.62,3.7,0.136,86.6,0.284,,,,,,,,,,,
2018,20,박민우,NC,0.324,115,460,411,68,133,22,5,5,180,33,3,4,32,3,10,51,4,0.438,0.383,0.821,34,0.362,0.667,32,134,97,1.38,2,0.63,3.85,0.114,68.9,0.282,,,,,,,,,,,
2018,21,나성범,NC,0.318,144,620,556,110,177,36,3,23,288,91,0,5,44,4,15,131,11,0.518,0.381,0.899,53,0.319,0,62,146,107,1.36,12,0.34,3.74,0.2,104,0.301,,,,,,,,,,,
2018,22,민병헌,롯데,0.318,118,494,443,74,141,21,0,17,213,66,2,6,35,3,8,68,10,0.481,0.374,0.855,45,0.283,0.25,38,117,123,0.95,8,0.51,3.59,0.163,76.4,0.289,,,,,,,,,,,
2018,23,로맥,SK,0.316,141,616,528,102,167,19,0,43,315,107,0,6,72,0,10,123,7,0.597,0.404,1.001,48,0.297,0,62,97,147,0.66,10,0.59,4.03,0.28,122.3,0.331,,,,,,,,,,,
2018,24,이형종,LG,0.316,118,485,437,83,138,27,0,13,204,42,5,0,31,0,12,82,6,0.467,0.377,0.844,37,0.292,0.364,40,112,105,1.07,5,0.38,3.72,0.151,72,0.286,,,,,,,,,,,
